[08-Dec-2015 16:22:41 UTC] PHP Parse error:  syntax error, unexpected 'register_sidebar' (T_STRING) in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/functions.php on line 81
[08-Dec-2015 16:23:55 UTC] PHP Parse error:  syntax error, unexpected 'register_sidebar' (T_STRING) in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/functions.php on line 81
[08-Dec-2015 16:23:57 UTC] PHP Parse error:  syntax error, unexpected 'register_sidebar' (T_STRING) in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/functions.php on line 81
[08-Dec-2015 16:23:58 UTC] PHP Parse error:  syntax error, unexpected 'register_sidebar' (T_STRING) in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/functions.php on line 81
[08-Dec-2015 19:21:13 UTC] PHP Fatal error:  Call to undefined function get_animal() in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/page.php on line 23
[08-Dec-2015 19:22:46 UTC] PHP Warning:  include(./animal.php): failed to open stream: No such file or directory in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/page.php on line 24
[08-Dec-2015 19:22:46 UTC] PHP Warning:  include(): Failed opening './animal.php' for inclusion (include_path='.:/Applications/MAMP/bin/php/php5.6.10/lib/php') in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/page.php on line 24
[08-Dec-2015 19:30:37 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/page.php on line 15
[08-Dec-2015 19:30:45 UTC] PHP Parse error:  syntax error, unexpected '}' in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/page.php on line 15
[09-Dec-2015 03:23:15 UTC] PHP Parse error:  syntax error, unexpected 'endwhile' (T_ENDWHILE) in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/home.php on line 20
[09-Dec-2015 03:37:21 UTC] PHP Parse error:  syntax error, unexpected 'create_widget' (T_STRING) in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/functions.php on line 89
[09-Dec-2015 14:41:10 UTC] PHP Notice:  Undefined offset: 1 in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/query.php on line 3716
[09-Dec-2015 14:41:10 UTC] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/query.php on line 4601
[09-Dec-2015 14:41:10 UTC] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/query.php on line 4603
[09-Dec-2015 14:41:10 UTC] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/query.php on line 4605
[09-Dec-2015 14:41:10 UTC] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/query.php on line 4606
[09-Dec-2015 14:41:10 UTC] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/query.php on line 4617
[09-Dec-2015 14:41:10 UTC] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/query.php on line 4625
[09-Dec-2015 14:41:10 UTC] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/query.php on line 4642
[09-Dec-2015 14:41:10 UTC] PHP Notice:  Trying to get property of non-object in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/post-template.php on line 279
[09-Dec-2015 14:42:04 UTC] PHP Catchable fatal error:  Object of class WP_Post could not be converted to string in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/single.php on line 9
[09-Dec-2015 14:42:19 UTC] PHP Parse error:  syntax error, unexpected 'global' (T_GLOBAL) in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/single.php on line 9
[09-Dec-2015 14:42:48 UTC] PHP Notice:  Undefined variable: get_post in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/single.php on line 9
[09-Dec-2015 14:44:28 UTC] PHP Notice:  Use of undefined constant the_tags - assumed 'the_tags' in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/single.php on line 9
[09-Dec-2015 14:47:07 UTC] PHP Fatal error:  Call to undefined function the_comments_template() in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/single.php on line 16
[09-Dec-2015 14:47:23 UTC] PHP Notice:  Theme without comments.php is <strong>deprecated</strong> since version 3.0 with no alternative available. Please include a comments.php template in your theme. in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/functions.php on line 3512
[09-Dec-2015 14:53:56 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 32 bytes) in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/comment.php on line 854
[09-Dec-2015 14:58:25 UTC] PHP Parse error:  syntax error, unexpected ';' in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/comments.php on line 3
[09-Dec-2015 15:00:13 UTC] PHP Parse error:  syntax error, unexpected ';' in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/comments.php on line 3
[09-Dec-2015 15:06:54 UTC] PHP Parse error:  syntax error, unexpected '/' in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/comments.php on line 4
[09-Dec-2015 15:07:13 UTC] PHP Parse error:  syntax error, unexpected '?>' in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/comments.php on line 4
[09-Dec-2015 15:30:20 UTC] PHP Warning:  Missing argument 1 for get_comment(), called in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/comments.php on line 8 and defined in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/comment.php on line 171
[09-Dec-2015 15:30:20 UTC] PHP Warning:  Missing argument 1 for get_comment(), called in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/comments.php on line 8 and defined in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/comment.php on line 171
[09-Dec-2015 15:30:20 UTC] PHP Warning:  Missing argument 1 for get_comment(), called in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/comments.php on line 8 and defined in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/comment.php on line 171
[09-Dec-2015 15:30:20 UTC] PHP Warning:  Missing argument 1 for get_comment(), called in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/comments.php on line 8 and defined in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/comment.php on line 171
[09-Dec-2015 15:31:27 UTC] PHP Fatal error:  Call to undefined function comment_content() in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/comments.php on line 8
[09-Dec-2015 15:32:30 UTC] PHP Fatal error:  Call to undefined function comment_content() in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/comments.php on line 10
[09-Dec-2015 15:33:47 UTC] PHP Fatal error:  Call to undefined function comment_content() in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/comments.php on line 8
[09-Dec-2015 15:39:42 UTC] PHP Warning:  Missing argument 1 for get_avatar(), called in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-content/themes/bootstrap_tm/comments.php on line 8 and defined in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2214
[09-Dec-2015 15:39:42 UTC] PHP Notice:  Undefined variable: id_or_email in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2259
[09-Dec-2015 15:39:42 UTC] PHP Notice:  Undefined variable: id_or_email in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2270
[09-Dec-2015 15:39:42 UTC] PHP Notice:  Undefined variable: id_or_email in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2272
[09-Dec-2015 15:39:42 UTC] PHP Notice:  Undefined variable: id_or_email in /Applications/MAMP/htdocs/bootstrap_to_wp/wp-includes/pluggable.php on line 2318
